CourseID,Title,Domain,Level,Platform,Duration(hrs),Rating,Enrollments,Price,Prerequisites,Certification,Language,LastUpdated
101,HTML & CSS Fundamentals,Frontend Development,Beginner,Udemy,15,5.0,44251,0,None,False,English,2024-12-28 14:13:11.696528
102,Advanced CSS & Sass,Frontend Development,Intermediate,edX,20,4.0,47855,0,Frontend Development Basics,False,English,2024-11-04 14:13:11.696549
103,JavaScript Essentials,Frontend Development,Beginner,Pluralsight,25,4.8,20450,199,None,False,English,2025-01-16 14:13:11.696557
104,Advanced JavaScript,Frontend Development,Intermediate,FreeCodeCamp,30,4.9,23932,0,Frontend Development Basics,False,English,2024-11-05 14:13:11.696563
105,React.js Complete Guide,Frontend Development,Intermediate,Pluralsight,40,4.1,2485,199,Frontend Development Basics,True,English,2025-07-26 14:13:11.696570
106,Vue.js Mastery,Frontend Development,Intermediate,Udacity,35,3.7,17298,0,Frontend Development Basics,False,English,2025-02-04 14:13:11.696575
107,Angular for Beginners,Frontend Development,Beginner,Pluralsight,30,4.1,13305,0,None,False,English,2024-10-26 14:13:11.696581
108,Frontend Performance,Frontend Development,Advanced,Pluralsight,25,4.3,12692,49,Frontend Development Basics,False,English,2024-08-20 14:13:11.696594
109,Responsive Web Design,Frontend Development,Beginner,Khan Academy,18,4.9,11380,0,None,True,English,2025-07-06 14:13:11.696602
110,TypeScript Complete,Frontend Development,Intermediate,Skillshare,28,4.0,38525,0,Frontend Development Basics,False,English,2025-03-07 14:13:11.696609
111,Node.js Fundamentals,Backend Development,Beginner,edX,22,4.7,34155,99,None,False,English,2025-04-05 14:13:11.696615
112,Express.js Complete,Backend Development,Intermediate,Skillshare,25,4.0,15623,0,Backend Development Basics,False,English,2025-04-26 14:13:11.696621
113,Python Django,Backend Development,Intermediate,Udemy,35,3.8,18158,29,Backend Development Basics,True,English,2025-01-24 14:13:11.696626
114,REST API Design,Backend Development,Intermediate,FreeCodeCamp,20,3.8,8291,29,Backend Development Basics,True,English,2025-03-24 14:13:11.696631
115,Database Design,Backend Development,Beginner,Udemy,18,3.6,47666,49,None,True,English,2025-08-01 14:13:11.696636
116,MongoDB Mastery,Backend Development,Intermediate,Pluralsight,24,4.5,36671,99,Backend Development Basics,True,English,2024-10-02 14:13:11.696641
117,GraphQL Complete,Backend Development,Advanced,Udemy,30,5.0,42660,0,Backend Development Basics,True,English,2024-11-08 14:13:11.696646
118,Microservices Architecture,Backend Development,Advanced,edX,40,4.5,29982,199,Backend Development Basics,False,English,2025-02-20 14:13:11.696651
119,API Security,Backend Development,Advanced,FreeCodeCamp,22,4.0,3024,199,Backend Development Basics,False,English,2025-07-17 14:13:11.696657
120,Server Administration,Backend Development,Intermediate,Udemy,28,4.2,5566,0,Backend Development Basics,False,English,2024-12-08 14:13:11.696662
121,Ethical Hacking Basics,Cybersecurity,Beginner,Udacity,20,4.7,44254,199,None,True,English,2024-10-08 14:13:11.696667
122,Network Security,Cybersecurity,Intermediate,edX,30,3.5,47430,29,Cybersecurity Basics,True,English,2025-04-20 14:13:11.696672
123,Penetration Testing,Cybersecurity,Advanced,FreeCodeCamp,45,4.6,37711,0,Cybersecurity Basics,True,English,2024-08-04 14:13:11.696677
124,Cybersecurity Fundamentals,Cybersecurity,Beginner,Coursera,15,4.7,27091,0,None,False,English,2024-11-26 14:13:11.696681
125,Digital Forensics,Cybersecurity,Advanced,Udemy,35,3.8,31263,0,Cybersecurity Basics,True,English,2025-02-12 14:13:11.696686
